Date,Name,Signal,Prediction,Duration,Cumulative Value
2023-07-06,OSTK,0.5293686491262579,0.32,Today to 3 days ahead,0.16939796772040253
2023-07-06,USIG,-0.027727568403346073,0.24,Today to 3 days ahead,-0.006654616416803057
2023-07-06,HBI,-22.625994948893698,0.86,year,-19.45835565604858
2023-07-06,IBP,0.45732434400643573,0.32,7 days,0.14634379008205944
2023-07-06,BNS,0.014643229303291781,0.35,7 days,0.005125130256152123
2023-07-06,SAM,-0.01007349996551257,0.54,14 days,-0.005439689981376788
2023-07-06,BSCP,-0.006436780150469162,0.48,14 days,-0.0030896544722251976
2023-07-06,GS,0.0034455569051617977,0.42,14 days,0.001447133900167955
2023-07-06,UAA,0.004281096946810335,0.49,14 days,0.002097737503937064
2023-07-06,ATR,0.008203678609995794,0.44,14 days,0.0036096185883981494
2023-07-06,BNS,0.026624053278712336,0.44,14 days,0.011714583442633429
2023-07-06,CPRI,0.03038326238009987,0.47,14 days,0.014280133318646937
2023-07-06,ANGL,0.03972803653832309,0.5,14 days,0.019864018269161544
2023-07-06,AZTA,0.5409942954127508,0.45,14 days,0.24344743293573787
2023-07-06,SE,0.5561083895485313,0.56,14 days,0.31142069814717754
2023-07-06,WIX,0.598982369799597,0.46,14 days,0.2755318901078146
2023-07-06,FOXF,0.7435763453195856,0.43,14 days,0.3197378284874218
2023-07-06,SCCO,0.022603466428806493,0.36,7 days,0.008137247914370337
2023-07-06,URI,0.7608834872501004,0.46,14 days,0.3500064041350462
2023-07-06,TWST,0.9252324805191708,0.44,14 days,0.4071022914284352
2023-07-06,APPS,1.2883845262508453,0.58,14 days,0.7472630252254903
2023-07-06,OSTK,1.5546514230845494,0.49,14 days,0.7617791973114292
2023-07-06,MARA,3.749854801446852,0.48,14 days,1.799930304694489
2023-07-06,BILI,-0.097090914535939,0.32,7 days,-0.03106909265150048
2023-07-06,PACB,-0.09445562508421675,0.44,7 days,-0.041560475037055365
2023-07-06,FL,-0.07670187751577552,0.33,7 days,-0.025311619580205922
2023-07-06,UMC,-0.02652317178273711,0.41,7 days,-0.010874500430922215
2023-07-06,SAM,-0.02014699993102514,0.42,7 days,-0.00846173997103056
2023-07-06,BSCP,-0.0042911867669794415,0.38,7 days,-0.0016306509714521878
2023-07-06,SIX,,0.35,7 days,
2023-07-06,GS,0.0034455569051617977,0.32,7 days,0.0011025782096517752
2023-07-06,FTCH,0.8980008178619102,0.46,14 days,0.4130803762164787
